Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
Loyola University New Orleans,159656,53.94%,62.12%,63.92%,"29.936141, -90.120417",New Orleans,LA,,,www.loyno.edu/,www.loyno.edu/admissions/tuition-financial-aid/net-price-calculator,33.72%,66.28%,,14 to 1,0.31%,0.09%,2.72%,19.60%,45.29%,3.37%,20.46%,4.92%,3.22%,0%,0%,5.98%,8.97%,71.37%,3.42%,6.84%,2.14%,1.28%,0%,3.63%,3.17%,2.11%,0%,1.96%,0.60%,0%,1.36%,2.42%,7.10%,0.15%,9.67%,0%,0%,0.45%,0%,0%,9.06%,10.12%,0%,3.47%,1.96%,0%,23.41%,17.07%,0%,1.66%,0%,0%,0%,0%,0%,0%,0%,0%,0.60%,0%,3230,1205,4435,43498,43498,22123,13992,50080,Roman Catholic,City: Large (pop. > 250k),202,,,,,,,,,,,,,,,,,,,Visual Performing: 23.41% | Business Marketing: 17.07% | Social Science: 10.12%,Visual Performing: 23.41% | Business Marketing: 17.07% | Social Science: 10.12% | Psychology: 9.67% | Communication: 9.06%,,71,,558,,,183,856,316,420,557,294,313,500,,98,159,148,115,194,,229,55,116,,30,,,,311,106,399,139,,400,273,,,82,180,30,,,,,,,60,,,,,,192,117,,183,,127,159,135,220,,,,,,,MSY,26 mins,15.2 mi,26,0.7827,,,,,,,,,,,
"University of Louisiana, Monroe",159993,34.86%,53.53%,48.25%,"32.527748, -92.07374",Monroe,LA,ULM; University of Louisiana-Monroe; Uni of LA-Monroe; University of Louisiana Monroe; University of Louisiana at Monroe,,www.ulm.edu/,https://webservices.ulm.edu/price_calculator/npcalc.htm,33.71%,66.29%,,18 to 1,0.39%,0.04%,1.71%,24.11%,60.40%,3.27%,3.39%,2.77%,3.92%,0.30%,0%,7.01%,7.62%,80.79%,0.91%,3.05%,0%,0.30%,0%,31.39%,1.20%,1.59%,0%,3.51%,1.04%,0%,3.35%,0%,4.94%,8.29%,13.47%,0.48%,0%,0.64%,0%,0%,2.39%,1.35%,0.24%,0%,0.72%,0%,0.96%,14.26%,0%,0%,0%,0%,0%,0%,5.82%,2.55%,0%,0%,0%,1.83%,5376,1990,7366,21158,21158,10950,9390,44507,,City: Small (pop. < 100k),331,,,17,20,23,20,23,25,19,22,24,570,630,690,490,535,580,1108,Health: 31.39% | Business Marketing: 14.26% | Psychology: 13.47%,Health: 31.39% | Business Marketing: 14.26% | Psychology: 13.47% | Humanities: 8.29% | Parks Recreation Fitness: 5.82%,,,247,,,397,569,,584,895,277,592,627,355,572,,,,,,269,,446,650,,,,,,,,,,,430,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLU,9 mins,3.3 mi,9,0.6989,,,,,,,,,,,
"University of Louisiana, Lafayette",160658,22.95%,50.13%,54.71%,"30.212191, -92.020165",Lafayette,LA,UL Lafayette,,www.louisiana.edu/,financialaid.louisiana.edu/sites/financialaid/files/NetPriceCalculator/npcalc.htm,42.17%,57.83%,,19 to 1,0.33%,0.13%,2.59%,23.99%,60.03%,2.58%,5.83%,3.55%,0.97%,0.15%,0.15%,10.76%,5.81%,74.13%,0.58%,4.07%,4.07%,0.29%,0%,20.10%,2.00%,0.53%,0%,4.17%,0.32%,0%,9.66%,0.57%,4.45%,11.23%,4.03%,0%,8.87%,0.68%,1.50%,0%,3.03%,2.57%,0%,0%,1.18%,0%,4.13%,13.65%,0%,0%,0%,3.35%,0%,1.60%,0%,2.39%,0%,0%,0%,0%,12612,2525,15137,24074,24074,12642,11784,45080,,City: Midsize (250k > pop. > 100k),331,,172,17,21,24,19,22,25,19,22,24,513,551,588,510,560,610,1105,Health: 20.1% | Business Marketing: 13.65% | Humanities: 11.23%,Health: 20.1% | Business Marketing: 13.65% | Humanities: 11.23% | Education: 9.66% | Engineering: 8.87%,197,,124,495,,329,573,731,383,645,125,310,330,193,678,,206,343,,,125,,150,114,,,,,87,137,237,,,,149,356,,,141,,,,,219,,,,274,,,,,,,,,326,,,,,249,,,,,,,LFT,12 mins,3.8 mi,12,0.7835,,,,,,,,,,,https://getdata.louisiana.edu/sites/instres/files/UL_CDS_2022_2023.pdf
The New School,193654,55.76%,69.87%,71.27%,"40.735508, -73.997114",New York,NY,New School University; Parsons The New School for Design; New School for Social Research; Eugene Lang College; Mannes College; The New School for Drama; The New School for Jazz and Contemporary Music; The New School for Public Engagement,,https://www.newschool.edu/,https://app.enrollmentfacts.com/netpricecalculator/NPC/Index/31,24.29%,75.71%,,10 to 1,0.09%,0.12%,11.05%,3.97%,34.25%,3.87%,11.41%,5.03%,30.20%,0.25%,0%,10.53%,7.02%,56.39%,7.77%,7.27%,8.77%,2.01%,0%,0%,3.59%,0.50%,0%,9.32%,0%,0%,0%,0.38%,0%,7.87%,2.64%,0%,0%,0%,1.64%,0%,5.98%,2.20%,0%,1.89%,0%,0%,60.52%,2.46%,0%,0.69%,0%,0%,0%,0.31%,0%,0%,0%,0%,0%,0%,7373,3112,10485,52494,52494,29648,21400,55333,,City: Large (pop. > 250k),127,,,,,,,,,,,,,,,,,,,Visual Performing: 60.52% | Computer: 9.32% | Humanities: 7.87%,Visual Performing: 60.52% | Computer: 9.32% | Humanities: 7.87% | Communication: 5.98% | English: 3.59%,,,,436,,,208,371,240,26,394,573,605,,,,,,304,367,,384,193,350,,52,,,,,1,341,170,,659,,,,,,,,129,,,,,,,,,,,,56,,,,84,163,,188,,,,,,,LGA,28 mins,9.9 mi,28,0.663,6.70%,Y,,,,,,,,,
"University of Hawaii, Manoa",141574,36.66%,58.91%,64.23%,"21.298598, -157.818979",Honolulu,HI,UH Manoa / UHM,,https://manoa.hawaii.edu/,https://manoa.hawaii.edu/fas/basics/npcalc.htm,39.79%,60.21%,,14 to 1,0.28%,2.49%,33.77%,1.60%,19.57%,0.52%,13.45%,25.05%,3.27%,0.24%,6.17%,29.80%,1.11%,50.51%,0%,2.06%,5.53%,4.58%,0%,6.88%,1.87%,1.01%,0%,3.23%,4.82%,0%,6.39%,1.41%,7.68%,1.35%,6.48%,0.61%,7.31%,0.74%,1.20%,0%,4.73%,8.11%,0%,0.49%,1.20%,0%,3.16%,19.54%,0%,0.58%,0%,0%,2.27%,2.61%,2.95%,0%,1.81%,0%,0%,1.54%,13839,4978,18817,34218,34218,13430,13642,56055,,City: Large (pop. > 250k),166,,121,18,22,26,19,22,25,20,24,27,530,580,630,550,605,660,1175,Business Marketing: 19.54% | Social Science: 8.11% | Biological: 7.68%,Business Marketing: 19.54% | Social Science: 8.11% | Biological: 7.68% | Engineering: 7.31% | Health: 6.88%,,,138,,,,121,,392,43,398,345,367,217,570,,179,,209,,145,,482,637,,,,,,381,131,376,342,,,349,,225,,,,247,,274,,,155,,,,,,,180,,,,,,,,223,,,,,,,HNL,31 mins,15.7 mi,31,0.6998,,,,,,,,,,,https://manoa.hawaii.edu/miro/wp-content/uploads/2023/06/AnalysisBrief_CommonDataSet_2022-2023.docx-1.pdf
George Mason University,232186,48.60%,70.13%,73.80%,"38.829976, -77.307428",Fairfax,VA,Mason,,https://www2.gmu.edu/,https://gmu.studentaidcalculator.com/survey.aspx,50.45%,49.55%,,16 to 1,0.11%,0.10%,22.49%,11.47%,35.58%,3.32%,16.53%,5.33%,5.07%,0.24%,0%,13.98%,5.06%,64.50%,2.83%,3.44%,8.14%,1.81%,0%,8.84%,1.66%,1.21%,0%,11.58%,0.41%,0%,1.29%,0.49%,5.93%,5.69%,5.80%,0%,5.38%,1.00%,0%,0%,2.52%,8.99%,0%,1.75%,1.10%,0%,4.01%,19.91%,0%,0.32%,0%,0%,0.05%,0.27%,1.31%,7.66%,1.53%,0%,0%,1.29%,26339,11746,38085,"$54,126 ","$30,666 ",18581,12630,69958,,Suburb: Large City,137,86,72,23,26,28,24,28,32,25,28,30,560,620,680,580,625,670,1250,Business Marketing: 19.91% | Computer: 11.58% | Social Science: 8.99%,Business Marketing: 19.91% | Computer: 11.58% | Social Science: 8.99% | Health: 8.84% | Security Law Enforcement: 7.66%,210,,120,,,,485,,430,63,405,297,316,316,225,,149,222,,,325,232,702,385,,,,,,414,269,232,204,237,,392,45,234,,334,,,110,140,,,200,57,,,,67,83,,,158,162,,,,,279,,,,,,,DCA,34 mins,21.1 mi,34,0.913,3.80%,Y,,,58%,"$6,680 ",,,,,
Biola University,110097,55.03%,69.94%,75.08%,"33.906203, -118.014374",La Mirada,CA,,,https://www.biola.edu/,https://www.biola.edu/financial-aid/resources/net-price-calculator#net-price,38.00%,62.00%,,13 to 1,0.25%,0.56%,15.26%,3.17%,43.65%,3.76%,20.60%,7.04%,5.71%,0.75%,0.37%,15.67%,3.36%,66.79%,7.09%,4.85%,1.12%,0%,0%,9.23%,3.44%,1.23%,0%,2.21%,0.25%,0%,5.29%,0.12%,5.90%,0%,10.70%,0%,1.23%,1.11%,0%,0%,9.10%,6.15%,0%,2.83%,0.49%,0%,13.41%,17.34%,0%,0.49%,0%,0%,0%,0%,2.09%,0%,0%,0%,7.38%,0%,3592,1955,5547,44382,44382,27161,10202,53148,Undenominational,Suburb: Large City,194,,,20,24,27,22,27,31,22,26,29,540,600,660,563,626,688,1228,Business Marketing: 17.34% | Visual Performing: 13.41% | Psychology: 10.7%,Business Marketing: 17.34% | Visual Performing: 13.41% | Psychology: 10.7% | Health: 9.23% | Communication: 9.1%,194,,,380,,58,254,410,239,659,414,250,268,327,,,,329,199,167,681,,,359,30,54,8,66,107,233,656,167,205,255,144,253,,,,,,120,,285,,,,,,5,,,,305,,,267,,57,,,170,,,,,,,SNA,33 mins,22.5 mi,33,0.6077,,Y,,,,,,,,,
University of Maine,161253,39.44%,56.79%,57.27%,"44.899257, -68.669332",Orono,ME,,,www.umaine.edu/,https://go.umaine.edu/netpricecalculator/,51.56%,48.44%,,16 to 1,0.70%,0.02%,1.65%,1.86%,83.39%,1.74%,4.75%,3.63%,2.25%,0.50%,0%,3.48%,0.83%,72.68%,4.97%,1.99%,14.40%,1.16%,0%,6.45%,1.53%,0.95%,0%,1.32%,0%,0%,8.35%,5.66%,7.14%,3.12%,5.29%,2.27%,11.15%,0.63%,0%,0%,3.75%,6.77%,0%,4.23%,1.64%,0%,1.32%,17.12%,0%,0.37%,0%,6.40%,0.05%,1.85%,1.16%,0%,0%,0%,0%,1.48%,9246,2542,11788,"$46,160 ","$24,560 ",17067,11712,48550,,Suburb: Small City,219,,141,20,24,28,21,27,32,22,26,30,520,575,630,540,595,650,1180,Business Marketing: 17.12% | Engineering: 11.15% | Education: 8.35%,Business Marketing: 17.12% | Engineering: 11.15% | Education: 8.35% | Biological: 7.14% | Social Science: 6.77%,177,179,230,,,,191,673,567,901,,540,572,291,538,,327,,,,171,365,166,578,,,,,,,,,,,,382,,,137,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,BGR,20 mins,12.4 mi,20,0.9646,0%,Y,,,95%,"$9,569 ",,,,,https://umaine.edu/oira/resource/umaine-common-data-set-2022-2023/&sa=U&ved=2ahUKEwjG4PCxjZKBAxWdTDABHQP1AtoQFnoECAIQAg&usg=AOvVaw3yaT2GOB-TRptQeNRSQKDh
Maine Maritime Academy,161299,54.37%,72.46%,71.82%,"44.389654, -68.804347",Castine,ME,,,https://mainemaritime.edu/,https://npc.collegeboard.org/student/app/mainemaritime,81.68%,18.32%,,9 to 1,0.81%,0%,1.61%,1.96%,82.60%,5.53%,5.53%,1.38%,0.58%,0%,0%,1.33%,0%,98.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.08%,0%,0%,0%,47.69%,0%,0%,0%,0%,0%,26.67%,0.51%,0.51%,0%,0%,11.79%,0%,0%,0%,9.74%,0%,0%,0%,0%,0%,0%,0%,0%,868,17,885,29258,29258,23778,10910,85452,,Rural: Distant,,,,,,,,,,,,,,,,,,,,Engineering: 47.69% | Transportation: 26.67% | Business Marketing: 11.79%,Engineering: 47.69% | Transportation: 26.67% | Business Marketing: 11.79% | Engineering Technology: 9.74% | Biological: 3.08%,205,,105,238,99,,,,360,,,257,275,807,67,,,494,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,BGR,58 mins,41.5 mi,58,0.5771,,Y,,,,,,,,,
University of Florida,134130,71.60%,90.89%,89.36%,"29.64629, -82.347911",Gainesville,FL,,,https://www.ufl.edu/,https://npc.collegeboard.org/student/app/ufl,43.65%,56.35%,,17 to 1,0.11%,0.06%,10.29%,5.21%,50.95%,2.17%,24.06%,4.75%,2.41%,0.19%,0.04%,14.17%,4.16%,64.25%,1.46%,8.66%,6.07%,1.00%,0%,7.38%,1.67%,0.87%,0%,3.06%,1.49%,0%,1.69%,1.54%,10.40%,1.30%,5.77%,3.66%,14.78%,1.38%,1.15%,0%,6.94%,10.77%,0%,3.42%,2.16%,0%,3.77%,10.97%,0%,0.49%,0%,1.10%,0.55%,1.13%,2.04%,0.53%,0%,0%,0%,0%,34044,20905,54949,"$45,838 ","$23,560 ",3679,10400,69468,,City: Midsize (250k > pop. > 100k),29,23,46,26,29,31,28,32,35,29,31,33,650,700,750,650,685,720,1396,Engineering: 14.78% | Business Marketing: 10.97% | Social Science: 10.77%,Engineering: 14.78% | Business Marketing: 10.97% | Social Science: 10.77% | Biological: 10.4% | Health: 7.38%,30,,6,75,,,38,,53,250,418,,41,3,47,,18,14,6,,1,,40,13,,,,80,19,6,573,33,66,55,256,34,,22,59,53,,2,41,43,26,51,24,5,,,4,9,5,21,6,48,23,3,,30,57,29,,,24,,,,JAX,1 hour 36 mins,83.3 mi,96,0.3013,19.10%,,,,8%,"$4,429 ",,,,,https://data-apps.ir.aa.ufl.edu/public/cds/CDS_2022-2023_UFMAIN_Post.pdf
Loyola University Maryland,163046,76.92%,80.50%,83.30%,"39.346358, -76.621872",Baltimore,MD,,,www.loyola.edu/,https://www.collegenpc.com/LoyolaUniversityMaryland,43.18%,56.82%,,12 to 1,0.05%,0.03%,3.34%,8.04%,70.38%,0.29%,12.31%,3.87%,1.67%,0%,0%,9.88%,5.09%,76.05%,1.50%,4.49%,2.10%,0.90%,0%,2.80%,4.55%,1.28%,0%,2.56%,0.70%,0%,3.03%,0%,7.23%,0%,9.09%,0%,4.90%,1.05%,0%,0%,9.79%,10.84%,0%,5.94%,0.93%,0%,0.35%,33.92%,0%,0.23%,0%,0%,0%,0%,0%,0.82%,0%,0%,0%,0%,3768,1353,5121,"$70,900 ","$70,900 ",30217,16100,81216,Roman Catholic,City: Large (pop. > 250k),,,172,,,,,,,,,,,,,,,,,Business Marketing: 33.92% | Social Science: 10.84% | Communication: 9.79%,Business Marketing: 33.92% | Social Science: 10.84% | Communication: 9.79% | Psychology: 9.09% | Biological: 7.23%,,,,,,29,305,,381,,534,354,376,249,521,,176,136,82,233,225,261,400,461,,,,,,346,536,320,185,,136,320,,,,356,41,,,319,,,,,,,,,,,,,149,,,,,,,,,,,,BWI,34 mins,14.1 mi,34,0.8421,,Y,,,83%,"$22,895 ",,,,,https://www.loyola.edu/-/media/department/institutional-research/documents/cds/cds_2022-2023_v3_final-posted-20230202.ashx%3Fla%3Den&sa=U&ved=2ahUKEwj-sJC6jZKBAxXeRzABHeOdCd4QFnoECAQQAg&usg=AOvVaw1NbT2Avu1oOCBq7QTTor8S
Chapman University,111948,71.63%,79.90%,81.46%,"33.79302, -117.852518",Orange,CA,,,https://www.chapman.edu/,https://www.chapman.edu/students/tuition-and-aid/financial-aid/net-cost-calculator/index.aspx,39.63%,60.37%,,12 to 1,0.13%,0.33%,15.89%,2.16%,50.22%,2.33%,17.62%,8.37%,2.95%,0%,0.18%,10.68%,2.67%,62.28%,13.17%,4.80%,4.09%,2.14%,0%,5.50%,2.86%,0.86%,0%,3.51%,0.92%,0%,3.40%,0.81%,5.29%,0.05%,5.50%,0%,0.38%,1.89%,0%,0%,9.88%,4.43%,0%,0.81%,0.65%,0%,15.11%,35.67%,0%,0.70%,0%,0%,0.05%,0%,0%,0%,1.24%,0%,0%,0.49%,7469,2277,9746,"$80,096 ","$80,096 ",39047,16542,64844,Christian Church (Disciples of Christ),City: Midsize (250k > pop. > 100k),121,,,24,27,29,25,30,34,26,29,31,600,655,710,610,655,700,1318,Business Marketing: 35.67% | Visual Performing: 15.11% | Communication: 9.88%,Business Marketing: 35.67% | Visual Performing: 15.11% | Communication: 9.88% | Health: 5.5% | Psychology: 5.5%,,,,244,,298,200,698,147,370,419,183,196,346,,,168,236,27,120,,149,302,203,,51,,,,155,293,119,96,270,122,194,,,207,177,,,,221,,,190,,,,,,,246,64,,163,,30,55,117,235,,,,,,,SNA,17 mins,10.4 mi,17,0.6037,7.40%,Y,,,42%,"$22,897 ",,,,,https://www.chapman.edu/campus-services/institutional-research/_files/cds/cds_2022-2023.pdf
Clemson University,217882,64.88%,85.47%,84.89%,"34.679381, -82.835114",Clemson,SC,,,www.clemson.edu/,https://netprice.app.clemson.edu/calc/,48.76%,51.24%,,16 to 1,0.23%,0.10%,2.74%,5.67%,78.11%,1.29%,7.22%,4.07%,0.57%,0%,0.06%,10.34%,4.20%,71.70%,2.27%,3.59%,7.52%,0.33%,0%,7.66%,2.08%,0.80%,0%,3.32%,1.50%,0%,3.36%,1.15%,9.54%,0%,6.12%,6.28%,19.76%,1.07%,1.85%,0%,0.49%,7.00%,0%,0.12%,0.99%,0%,2.86%,18.40%,0%,0.41%,0%,2.45%,0.29%,0.02%,2.51%,0%,0%,0%,0%,0%,21577,5688,27265,"$56,650 ","$33,658 ",22116,12234,69479,,Suburb: Large City,77,51,86,26,29,31,25,30,34,27,30,32,610,665,720,610,655,700,1339,Engineering: 19.76% | Business Marketing: 18.4% | Biological: 9.54%,Engineering: 19.76% | Business Marketing: 18.4% | Biological: 9.54% | Health: 7.66% | Social Science: 7.0%,54,,32,274,,586,116,,130,,423,97,105,23,151,,37,47,286,,3,,107,48,,,,,32,52,,96,134,128,143,96,,,120,211,,,,111,115,173,167,119,,,14,,33,258,108,137,120,29,,201,,,,,30,,,,GSP,1 hour 0 mins,45.5 mi,60,0.4922,,,,,38%,"$4,287 ",,,,,
Salisbury University,163851,49.87%,72.24%,70.94%,"38.34648, -75.604815",Salisbury,MD,"SU, Salisbury",,https://www.salisbury.edu/,tcc.ruffalonl.com/Salisbury University/Freshman Students,44.17%,55.83%,,14 to 1,0.54%,0.09%,3.97%,12.63%,70.66%,2.29%,6.09%,2.79%,0.95%,0%,0%,10.56%,4.72%,77.08%,0.45%,2.47%,4.27%,0.45%,0%,8.71%,2.37%,1.88%,0%,4.95%,0.81%,0%,7.26%,2.74%,4.90%,2.69%,8.34%,0%,0%,1.94%,0.05%,0%,8.45%,5.43%,0%,2.15%,2.04%,0%,4.14%,17.11%,0.05%,0.27%,0%,0%,0%,0%,5.97%,0.91%,0%,0%,0%,6.83%,6455,875,7330,20458,20458,18706,12500,57122,,Suburb: Small City,,,,,,,,,,,,,,,,,,,,Business Marketing: 17.11% | Health: 8.71% | Communication: 8.45%,Business Marketing: 17.11% | Health: 8.71% | Communication: 8.45% | Psychology: 8.34% | Education: 7.26%,,,228,,,544,557,,,,272,533,565,620,312,,304,463,,,583,364,137,408,,,,,,210,,,,,486,,,163,145,,,170,,297,,,,,,,,,,,,,,,,,,,,,,,,,BWI,2 hours 6 mins,112 mi,126,0.8646,0%,Y,Y,,,,15-Nov,,15-Dec,https://www.salisbury.edu/admissions/freshman-students/freshman-application.aspx,
St. Mary's College of Maryland,163912,64.12%,72.77%,77.02%,"38.190904, -76.429097",St. Mary's City,MD,St. Mary's or SMCM,,https://www.smcm.edu/,https://www.smcm.edu/osfa/npcalc/,42.07%,57.93%,,10 to 1,0.07%,0.53%,3.58%,10.82%,69.67%,1.26%,8.16%,5.18%,0.73%,0%,0%,4.13%,4.13%,81.82%,0%,5.79%,4.13%,0%,0%,0%,10.61%,4.24%,0%,4.55%,1.52%,0%,0%,10.61%,13.64%,0%,16.06%,0%,0%,3.94%,0%,0%,0%,23.33%,0%,1.52%,2.42%,0%,5.76%,0%,0%,0.30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.52%,1507,25,1532,"$47,439 ","$31,363 ",20512,13867,60455,,Suburb: Small City,,,,25,28,30,24,27,30,26,29,32,550,600,650,585,638,690,1256,Social Science: 23.33% | Psychology: 16.06% | Biological: 13.64%,Social Science: 23.33% | Psychology: 16.06% | Biological: 13.64% | English: 10.61% | Resources: 10.61%,,,153,742,172,,286,,311,,78,381,406,658,389,,,,,,,280,673,,,,,,,,,409,171,266,502,222,,,,185,,,,,170,191,223,,95,,,,,191,,177,307,,,,,,,,,,,,DCA,1 hour 37 mins,71.8 mi,97,0.7733,0%,,Y,,86%,"$5,316 ",1-Nov,,1-Dec,https://www.smcm.edu/admissions/how-to-apply/first-year-students/,https://www.smcm.edu/ir/wp-content/uploads/sites/60/2020/12/CDS-2020-2021-Final-12-18-20.pdf
Towson University,164076,49.96%,72.28%,72.19%,"39.393622, -76.611164",Towson,MD,,,www.towson.edu/,https://www.towson.edu/admissions/tuition/calculator.html,40.46%,59.54%,,16 to 1,0.10%,0.07%,6.65%,28.76%,46.90%,0.88%,9.79%,5.55%,1.31%,0.11%,0.22%,15.24%,7.13%,71.38%,0.88%,3.40%,0.11%,1.54%,0%,14.67%,1.60%,1.08%,0%,8.41%,0.30%,0%,8.62%,1.08%,5.81%,0%,7.58%,0%,0%,0.84%,0%,0%,9.83%,9.23%,0%,0.86%,1.73%,0%,4.54%,14.07%,0%,0.35%,0%,0%,0.67%,0.56%,5.42%,0%,0%,0%,0%,2.74%,17817,2949,20766,25516,25516,12621,13232,61376,,City: Small (pop. < 100k),,,215,18,22,25,19,22,25,21,24,26,520,560,600,520,570,620,1134,Health: 14.67% | Business Marketing: 14.07% | Communication: 9.83%,Health: 14.67% | Business Marketing: 14.07% | Communication: 9.83% | Social Science: 9.23% | Education: 8.62%,,,158,,,442,,,640,361,371,389,414,332,231,,,,312,,196,284,167,173,,,,,,,406,446,,,471,,53,,156,,,138,,256,,,,,,,,,91,,,,,125,,181,,221,,,,,,,BWI,33 mins,27.1 mi,33,0.8792,9.50%,,,,,,,,,,https://www.towson.edu/ir/documents/cds_all_2021_2022.pdf
Amherst College,164465,86.74%,92.42%,95.92%,"42.372459, -72.518493",Amherst,MA,,,www.amherst.edu/,https://npc.collegeboard.org/student/app/amherst,48.55%,51.45%,,7 to 1,0.25%,0.20%,15.17%,10.30%,38.76%,2.03%,15.42%,7.41%,10.45%,0.75%,0%,12.73%,9.36%,63.30%,4.49%,7.49%,1.50%,0.37%,4.81%,0%,4.56%,5.57%,0%,7.59%,3.29%,0%,0%,2.53%,13.92%,0%,7.85%,0%,0%,13.67%,0.51%,0%,0%,19.75%,0%,0.25%,6.84%,0%,3.29%,0%,0%,1.27%,0%,0%,4.30%,0%,0%,0%,0%,0%,0%,0%,1971,,,"$80,060 ","$80,060 ",17304,16100,81855,,Suburb: Large City,,,94,30,33,35,33,34,35,32,33,34,690,740,790,680,720,760,1469,Social Science: 19.75% | Biological: 13.92% | Mathematics: 13.67%,Social Science: 19.75% | Biological: 13.92% | Mathematics: 13.67% | Psychology: 7.85% | Computer: 7.59%,,,,21,11,440,161,,40,9,,36,40,52,14,,,,,35,332,36,,468,,,,167,,,,58,25,25,,60,,,,21,,,,79,54,48,61,,11,,,,,24,,35,63,,28,32,50,30,,,,20,,,BDL,53 mins,40.6 mi,53,0.0874,10.90%,,Y,,0%,$0 ,16-Nov,,Early- to mid-December,https://www.amherst.edu/admission/apply/firstyear/calendar_deadlines,https://www.amherst.edu/system/files/CDS_2022-2023_Changes_0.pdf
